work_id,book_id_list_en,title,publication_year,language_codes_en,num_pages_median,description,popular_shelves,genres,author_id,author_name,author_average_rating,author_ratings_count,series_id,series_title,series_works_count,ratings_count_sum,text_reviews_count_sum,average_rating_weighted_mean
41328045,['22013911'],Crash,2014,['eng'],296.0,"Will Pardini is a temptation Natalie does NOT need right now.
Months after calling off her engagement, Natalie is trying to rebuild her failing career and impress her eternally disappointed parents. She has too much on her plate already, but the offer Will gives her - to travel the world working as a graphic designer for his luxury hotels - is much too tempting to refuse.
Reformed bad boy billionaire Will Pardini has had his fill of ditzy golddiggers. Natalie is everything he'd ever hoped for but never dreamed could be real. Around her, he's just a normal guy.
Around her, he doesn't feel like such a monster.
Will has been hiding a dark secret... one that shows up just when he thought he would be able to move on with his life. One that threatens to tear apart the fragile connection he's been building with Natalie and turn his world upside down.
Is it right to let someone love you more than you deserve to be loved?
This new adult contemporary romance is a standalone novel over 60,000 words and is the sequel to Break. HEA ending with no cliffhangers.","2er,a-kindle-freebie,abuse,adult,amazon,amazon-freebie,amazon-freebies,amazon-kindle,angst,annoying-heroine,authors,billionaire,billionaire-millionaire-ceo,billionaire-romance,billionaires,books-i-own,books-on-kindle,books-on-my-kindle,cheap-thrills,chick-lit,contemporary,contemporary-romance,currently-reading,did-not-finish,drama,e-book,ebook,ebooks,electronically-owned,erotic-romance,exo-soon,fiction,free,free-be,free-on-amazon,free-reads,freebie,freebies,freebies-to-read,good-reads,had-me-crazy-atimes,have,i-own-it-kindle,kindle,kindle-books,kindle-freebie,kindle-freebies,kindle-lendable,kindle-own,kindle-tbr,kindle-unlimited,library,maybe-to-read,maybe-to-read-someday,mf,na,new-adult,next-to-read,nook-books,on-kindle,on-kindle-to-read,on-my-kindle,on-the-kindle,other,own-but-haven-t-read,own-kindle,own-need-to-read,own-on-kindle,own-tbr,own-to-read,owned,owned-books,owned-but-not-read,owned-not-read,owned-on-kindle,part-of-a-series,part-of-series,pass,purchased,r-rated,read-2014,read-in-2014,read-in-2016,romance,series,set-aside,shelved,tbr,tbr-2014,tbr-kindle,to-read,to-read-on-kindle,to-read-own,to-read-owned,unfinished-series,vanessa-waltz,waiting-on-my-kindle,waltz-v,waltz-vanessa,wtf-did-i-just-read","fiction,romance",7849867,Vanessa Waltz,3.74,28491,628849.0,Billionaire,2.0,1783,98,3.57
40110339,"['20561808', '20555776', '26125779', '23716667', '23015087']",Broken,2014,"['en-US', 'eng']",279.0,"Librarian's Note: This is an alternate/new cover for ASIN B00HVHX11K
Book One of a three book trilogy.
Nick O'Hara is a veritable womanizer. The only qualifications that he looks for in a romantic connection is that the person is hot and breathing. Mainly hot. He has no desire for an emotional connection with another person, and that's the way he lives his life. He has his fabulous wealth and his reputation as a premiere architect, and that's enough for him.
Until Scotty James.
Scotty is a graduate student at Columbia University in New York City. She's broken from traumatic experiences from her years in foster care and homelessness. She has a vulnerability that is intoxicating to Nick, because, deep down, he knows that he is as broken as she.
When Nick pursues Scotty, it seems that she is the only woman who doesn't want to be with him. At first she's a challenge, but Nick soon finds himself falling in love for the first time in his life. With a woman who wants nothing to do with him.
Can Scotty overcome her trust issues and fear to let Nick in? Or will she prove to be too broken to trust?
This is a full-length, 95,000 word, New Adult novel with mature themes.","1-in-series,2015-reads,a-kindle-freebie,abandoned,adult,already-bought,amazon,annie-jocoby,arc,audible,bad-boy,billionaire,book-series,books-i-own,chick-lit,cliffhanger,college,contemporary,contemporary-romance,contemporary-to-read,currently-reading,dark,did-not-finish,didn-t-finish,dnf,dual-pov,e-book,e-books,e-romance,ebook,ebooks,ebooks-i-own,erotic,erotica,favorite-books,favorites,fiction,first-in-series,free,free-books,free-ebooks,freebie,freebie-kindle,freebies,have,have-ebook,have-it-need-to-read-it,have-to-read,ibooks,ipad,kindle,kindle-books,kindle-ebooks,kindle-freebie,kindle-freebies,kindle-lendable,kindle-library,kindle-loanable,kindle-tbr,kobo,lendable,library,mf,millionaire-billionaire,my-books,my-ebooks,na,new-adult,new-adult-romance,nook,not-interested,on-kindle,on-my-kindle,on-nook,own-ebook,own-it,own-kindle,own-on-kindle,own-tbr,own-to-read,owned,owned-books,owned-but-not-read,owned-to-read,part-of-series,purchased,purchased-to-read,read-2015,read-in-2015,romance,series,series-to-read,smut,teacher-student,to-be-read,to-read,to-read-on-my-kindle,to-read-own,to-read-owned,young-adult-new-adult","fiction,romance,young-adult",7151437,Annie Jocoby,3.74,6726,631069.0,Broken,4.0,1632,168,3.58
27204308,"['19162741', '19163742', '22361524']",What a duke dares,2014,['eng'],416.0,"A REPUTATION AT RISK
What woman in her right mind would say no to marrying the dashing Duke of Sedgemoor? Miss Penelope Thorne, that's who. She's known Camden Rothermere since they were children-and she also knows she'd bring nothing but scandal to his name.
Cam can hardly believe Penelope turned down his proposal. But if she wants to run off to the Continent and set the rumor mill ablaze, he can't stop her. Then her brother's dying request sends him to bring home the one woman he thought he'd finally gotten over.
The only way they'll both get back to London without their reputations in tatters is to pretend they're married during the journey. That means kissing like they mean it and even sharing a bed-until it becomes hard to tell where the game ends and true desire begins . . .","1,1-star,2014-read,2014-reading-challenge,2014-reads,2016-reads,2hist-er,abandoned,adult-fiction,anna-campbell,arc,audio,audio-books,audiobook,audiobooks,australian-authors,australian-woman-writer,author-anna-campbell,books-i-own,campbell,campbell-anna,childhood-friends,childhood-sweethearts,currently-reading,default,dnf,e-book,ebook,ebook-collection,england,epub,erotic,favorites,fiction,friends-to-lovers,g-romance,have,have-it,historic,historical,historical-fiction,historical-romance,historical-romance-regency,historical-romances,historicals,hoopla-audio,hr,in-the-queue,just-for-fun-challenge-2017,kindle,library,library-book,love,marriage-of-convenience,maybe-reads,mf,mofo-dukes,netgalley,netgalley-arc,on-kindle,owned-books,owned-to-read,part-of-a-series,purchased,race-nationality-heroine-english,read-2014,read-2017,read-again,read-ero-rom,read-in-2014,read-in-2015,read2014,regency,regency-rakes,regency-romance,review,romance,romance-1800-1850,romance-historical,romance-novels,romance-set-london,second-chance,series,setting-england,setting-the-continent,sons-of-sin-series,strong-heroine,tbr-1,tbr-first,to-buy,to-read,to-read-historical,to-read-historical-romance,to-read-sequels,too-expensive,tropes-i-hate,unfinished,virgin-heroine,wish-list,zshelf-a","fiction,history, historical fiction, biography,romance",296477,Anna Campbell,3.82,26009,569487.0,Sons of Sin,6.0,794,142,3.76
43230350,"['23624798', '24235659', '23657431']",Determined Prince,2014,['eng'],150.0,"Dragonshifter Prince Kyran has studied the Earth people and is ready to assimilate. Female shifters are all but going extinct on his planet of Qurilixen, and his people are desperate for mates--so much so they're taking matters into their own hands. What better place to capture a woman than Earth? After all, dragonshifters had come from there centuries ago. Surely a human female would be honored to be selected by one as fine and fierce as himself.
While on Earth, Kyran stumbles upon the most beautiful woman he's ever imagined, singing something the natives call rock 'n' roll. His blood simmers and he knows Eve is the one for him. But taming this feisty female is going to take much more than his training prepared him for.
A Dragon Lords Romance
About the Series
Captured by a Dragon-Shifter is a modern day prequel series installment to those first books. They take place long before the princes you know and love ever found their mates, long before The Dragon's Queen, in a time when the dragonshifters and catshifters actually--wait for it--liked each other and hung out as friends. They also don't have Galaxy Brides to bring them women. What they do have is the old portal that they used to escape Earth. There's no one left to marry on the planet and things are starting to get desperate.","00find,1,1-fantasy-sci-fi,1-tl,1-tl-pnr,1st-in-series,adult,alien,alien-romance,aliens,aliens-mostly-the-hot-hot-variety,audible,audio,audiobook,audiobooks-unread,book-i-dont-want,books-i-have,books-that-i-cant-find-online,box-set,bundle-multi-author,captured-by-a-dragon-shifter,contemporary,currently-reading,dont-have-it,downloaded-audio,dragon,dragon-heroes,dragon-shifters,dragons,e,erotic,erotica,fantasy,fantasy-ish,favorites,files-eeee,finished,gedownload,guy-royalty,guy-were-animal,have-but-need-to-read,itunes,kindle,kobo-books,lendable-purchased,library,m-f,magical-adventures,michelle-m-pillow,michelle-pillow,must-read,my-owned-books,my_ebooks,my_library_unread,mÅste-mÅste,nook,november-2014,on-hold,on-kindle-waiting-to-be-read,on-my-kindle,own-audio,own-kindle,owned,paranormal,paranormal-romace,paranormal-romance,paranormal-urban-fantasy,pnr-want-to-read,purchased,queued,read-2015,read-in-2017,received-audio-book,romance,romance-alien,romance-sci-fi,romantic-mystery,sci-fi,sci-fi-romance,science-fiction,science-fiction-romance,series-do-not-own-whole-series,shape-shifter,shape-shifter-romance,shape-shifters,shapeshifter,shapeshifters,shapeshifters-weres-dragons-etc,shifter,shifters,shifters-and-vampires,smuttylicious,sub-genre-pnr,summer-read,tablet,tbr-romance,to-be-read-pile,to-read,to-read-paranormal,want","fantasy, paranormal,fiction,mystery, thriller, crime,romance",8604,Michelle M. Pillow,3.87,45696,711904.0,Captured by a Dragon-Shifter,9.0,635,66,3.55
27361802,['21567835'],Beautiful Ties,2014,['eng'],,"While watching her brothers find their happily ever afters, Abbey dreams of falling in love. Smart, fun, and sexy, Abbey is also independent and works hard alongside her brother, Kyle. When Kyle joins his business ventures with his wife's cousins, Jason and Damon, Abbey struggles with keeping things professional.
Jason is instantly enamored with Abbey, and he becomes determined to win her over. Although she does not want to mix business with pleasure, he works his way into her heart with his good looks and sweet charm.
All the while, Abbey begins building a friendship with a lonely neighborhood child, Pearl. Abbey's heart warms to Pearl, and their friendship quickly blossoms into a loving relationship.
Can Abbey find a way to balance her growing feelings for Jason with her need to take care of Pearl? Or will Abbey need to sacrifice one relationship for the sake of the other?
*This Book Contains Mature Content*","1-read,1-tbr-books-i-own,2014-books,2016-downloaded,2016-new-reads,4th-in-series,5-stars,_unlimited-download,abcs-b,alicia-rae,amazon-unlimited,arc,author-genre-trope-not-for-me,authors,beautiful-seris,billionaire,book-boyfriends,books-i-have,books-in-series-i-need,bought-need-to-read,chick-lit,completed,contemporary,contemporary-romance,contemporary-series,continue,currently-reading,cybook,dnf,double-minded,downloaded,ebook,ebooks-to-read,epub,family-romance,family-series,favorite-triologys,favorites,for-review-blog-tour,four-star-books,have,have-to-read,heart-breaking,hot-biker,i-have-it,insta-love,interested-in-reading,kindle,kindle-adult,kindle-books-to-read,kindle-cloudless,kindle-contemporary-romance,kindle-i-own-to-read,kindle-library,kindle-series,kindle-unlimited,kindle-unlimited-book,kindle-unlimited-books,ku,march-2014,maybe,maybe-have-to-check-safety-first,must-read-series,new-adult,next,not-in-library-tbr,not-tbr,over-and-over,own-book,owned,owned-books,read-2015,read-in-2014,read-soon,review,reviewed-2014,romance,sequels,sequels-to-books-i-ve-read,series,series-complete,series-favorites,series-not-started,smut,standalone,sweet,sweet-read,tb-read,tbr-series,to-buy,to-get,to-read,to-read-asap,top-tbr,tr-his-con,untranslated-yet,waiting,want-to-own,want-to-read-now,xx-not-on-overdrive-kdl",romance,7159360,Alicia Rae,4.13,7709,585591.0,Beautiful,6.0,616,40,4.37
40122149,['20783212'],The Hitwoman Hunts a Ghost,2014,['en-US'],285.0,"Bumbling hitwoman Maggie Lee has discovered the sister she thought was dead might be alive. She's desperate to find her, but all of her bosses are making unreasonable demands. Demands she can't afford not to meet.
Once again, Delveccio, the chocolate pudding loving mob boss, needs someone whacked.
Her obnoxious boss at her day job insists she intervene on his behalf with her semi-psychic friend, Armani.
And the mysterious organization with the power to put her almost-lover Patrick behind bars has saddled her with an annoying new partner and sent her on a mission that has gone to the dogs.
With the clock ticking, Maggie (along with her snarky lizard, dyslexic Doberman and Southern belle cat) does her best to pull off every job without winding up in jail or dead...but is her best good enough?","01-1_english,01-2_heavy,01-2_love_evil,01-3_books,03-series-wish-list,1-my-library,2-read-purchase,2016-books-read,2017-read,3-5-stars,3-chick-lit,50-books-to-read-in-2014,5stars,8-series-10-15,a-amazon-wish-list,add-to-notebook,assassin,available-to-loan,blackkindle,books,chick-lit,chick-lit-crime,contemporary,cozy-mysteries-read,cozy-mystery,cozy-mystery-amateur-sleuth,currently-reading,easy-read-quick-read,ebook,fantasy,fave-series,favorites,fiction,fiction-humor-read,following-series,fun,fun-series,funny,funny-fiction,funny-mystery,got-it,hitwoman,humor,humorous,ibook,inbox,kickassladies,kindle,kindle-adult,kindle-chick-lit,kindle-cloudless,kindle-contemporary-romance,kindle-mystery-cozy,kindle-mystery-female-protagonist,kindle-series,lendable,light-hearted,light-hearted-comedy,list,lol-series,maggie-lee-series,murder-crime-mystery,mybooks,mys-sus-romance,mysteries,mystery,mystery-suspense,nook,not-read-yet,on-kindle-have-not-read,own-kindle,owned,owned-amazon,owned-and-unread,popcornbooks,psychic,published,purchased-borrowed,rated,read-2014,read-2014-novels,read-2016,read-before-feb-20-2015,read-in-2014,read-not-rated,released,romance,romantic-suspense,sequential,series-and-sequels,series-tbr-pending,soap-opera,suspense,suspense-thriller,talks-to-animals,the-hitwoman,thigh-slapper,to-purchase,to-read,year-2013","fantasy, paranormal,fiction,mystery, thriller, crime,romance",4855436,J.B. Lynn,4.25,9335,611014.0,Confessions of a Slightly Neurotic Hitwoman,17.0,498,20,4.32
24740887,"['17698342', '18919803']",Every Part of You: Tempts Me,2014,['eng'],45.0,"She likes to watch. He likes to keep hidden. Total opposites on a collision course to a relationship neither can deny.
Simone Cooper's been watching Elliott Anderson through her office window for months. He likes to bring women back to his office for late-night trysts, and Simone enjoys her voyeurism until one night, Elliott appears to go too far with his date. The other woman might not be into spanking, but Simone is, and when she meets Elliott in the elevator later that night, she makes sure he's intrigued enough by her to ask her to go with him to the party he no longer has a date for.
Thrown together by circumstances he'd never have imagined, Elliott isn't sure what to think about Simone. She's nothing like the women he normally dates, but something about her draws him in until he can't stop himself from wanting her...until their goodnight kiss becomes something harder. Harsher. Simone responds to his rough hands as no woman ever has, and Elliott's not ready to pursue what he's always told himself is wrong.","1-mix-1stofseries-mf-mm,1-read,2014-reads,2015_ebook_rc,adult,arc,audiobooks,available-on-kdl,bdsm,book-in-series,chick-lit,chick-lit-romance,cliffhanger,contemporary,contemporary-romance,couldn-t-finish,currently-reading,cute,did-not-finish,done,downloaded-to-read,dual-pov,duplicate-foreign,duplicates,e-book,e-books,ebooks,erotic,erotic-romance,erotica,f-m-contemporary,favorites,feisty-heroine,fiction,find,genre-erotica,gr-never-gonna-happen,great-secondary-characters,h-h-likes-it-rough,have-to-read,he-isnt-worth-it,hl-50-plus,hoopla,i-m-in-love,ibooks,kindle,kindle-ebook,library-audiobooks,m-f,maybe,megan-hart,mini_series,nc-17,need,net-galley,netgalley,netgalley-books,nope,novella,o,on-my-shelf,overdrive,panty-melters,playster-audio,quick-read,quickie-read,read-2014,read-in-2014,read-in-2016,read-in-english,read-romance,reviewed,romance,romance-bdsm,romance-contemporary,romance-erotica,s,serial,series,sexy-alpha-male,sexy-for-sure,short,short-stories,short-story,smutty-smut,steamy,take-a-chance-already,tbr,tbr-3-own,tbr-ebook,to-read,to-read-released,to-read-romance,to-read-the-short-list,unique,untranslated-yet,voyeurism,want,wish-list,z-title-e","fiction,romance",306449,Megan Hart,3.69,82329,492147.0,Every Part of You,6.0,427,104,3.57
25094700,"['17909653', '18874503']",Fate,2014,"['en-GB', 'eng']",229.0,"I'm used to getting what I want. I've always taken what I wanted. No apologies. No excuses.
I know what it feels like to be betrayed, when someone else is calling all the shots. I've been down that road, and I'm not going there again. I've got my family, my friends, and the brotherhood. That's all I need.
I believe in Fate. Everything happens for a reason. But what do you do when Fate kicks you in the gut, plays a cruel joke on you?
When I met Quincy Priest, she was a flame I couldn't put out. A freakin' wildfire. She blew in to my life, burned it to the ground, then left me standing in the ashes. Gone as suddenly as she came. I'm not sure if I should love her or hate her... But I don't hate her. I could never hate her.
What do you do when the person who broke you may be the only person who can put you back together?
Can you run from Fate?
Do you even want to?
You've read Quincy's story... now, let me introduce you to Brody. Fateis the 2nd book in the Choicesseries. Either book can be read as stand alone. Fateis a new adult contemporary romance intended for audiences 18+.","0-series-to-read,1,1-nuestros,2-read,2017-books,2next-to-read,4stars,6next-to-read,abuse,all-time-favorites,amber-s-epub-list,angst,arc-from-author,awaiting-release,basic-bitches,be-on-the-lookout,book-series,books,books-i-could-read-over,books-i-want-to-read-in-2013,books-on-my-tablet,books-read-in-2014,bought-not-read,cheating,chicks-only,choices-series,college,college-hs-romance,college-love,college-romance,contemporary-romance,contemporary-series,currently-own,currently-reading,di,dnf,done-reading,drama-real-life,ebook,emotional,epub,erotic-romance,favorites,five-stars,for-blog-review,forbidden-love,have,have-but-need-to-read,kindle,leah-can-borrow,library,love-triangle,ma,male-pov,man-whore,maybe,modern-romance,my-books,new-adult,new-adult-romance,nextup-sequels,not-on-epub,not-released-yet,not-yet-released,november-2013,on-kindle,on-kindle-unread,owned,owned-not-read,purchased-on-nook,read-and-reviewed,read-in-2017,read-to-leave-review,reading-challenge-2015,romance,romance-drama,romance-schtuff,s-new-adult,sequels,series,series-complete,series-standalones,series-to-finish,series-trilogy,series2016,short-read,soon,sweet-guys,sydney-lane,tattoo-and-pierced-guys,tbr-on-kindle,tbr-own,to-read,triangles,trilogy,unputdownable,waiting-arc,want-to-read-2016,wish-list,wishlisted",romance,7060081,Sydney Lane,4.08,2187,515101.0,Choices,5.0,377,65,4.33
41130528,"['23228985', '21857368']",Vipers Den: Part One Piper & Kade,2014,['eng'],96.0,"I'm Piper Jones, owner and operator or Vipers' Den; a hair and beauty salon catering to the unconventional. My clients are often referred to as: eccentric, freaks, or misfits.
I'm also single, a fact my mother is less than pleased with. Making it her mission to change my status, she continually sets me up on dates with her friend's offspring. Only her roster of ""gems"" is dwindling. Each date is worse than the last.
Then Kade Benson, the one man I have loathed for as long as I can remember, approached me with the most asinine (borderline genius) plan I'd ever heard to rectify both of our situations.
As ludicrous as it is, it might just work.
However, I never expected things to work out the way they did.
This book contains sexual situations and is not intended for audiences under 18 years of age.
This is the first in a five part series of sexy novella's following the staff members of Vipers Den. Each book is it's ownstory, nota continuation of the first.","0-chick-literature,01-tbr-on-kindle,07-never,1-contemporary,1-kindle,100-book-bucket-list,1st-choice-reads,2-star,99-kindle,adult,amazon,anthology,australian-author,books-i-dislike,books-i-want-to-read-in-2013,contemporary,contemporary-romance,convenience,currently-reading,dating,did-not-finish,disappointed,done-reading,dont-own,download,dual-pov,e-book,enemies-to-lovers,erotic-romance,erotica-adult,favorites,fictionally-yours-2017,free-sc,freebie,freebie-kindle,freebies,funny,fym-to-read,fym2017,genre-otherfiction,girl-hates-boy-love,good,guilty-pleasures,kindle,kindle-2,kindle-cloud,kindle-freebie,looks-good,lost-interest,loved-you-all-along,m,misogynist,my-books,new-adult,no-brain-required,nook,nope,normal,not-downloadable,not-thr-yet,novella,novella-prologue,on-kindle,opposites-attract,other,own-anthology,own-but-not-read-kindle,own-to-read-kindle,owned,owned-books,owned-but-unread,owned-ebook,part-of-series,quickie,read-in-2017,read-now,rnr-to-read,romance,romance-3,series-sequels,sexy,shelf-h-authors,short-reads,standalones,sweet-romance,to-be-filed,to-read,to-read-overflow,to-read-owned,trn,two,unread-on-kindle,unsorted-new-obsession,us-against-the-world,warm-and-fuzzy,y-2015-kindle,y-romance-contemporary,y-short-story,y-young-adult,zz-070-plus-pages","fiction,romance,young-adult",800887,J.B. Heller,4.01,1749,705739.0,Vipers Den,5.0,240,60,3.73
31336419,"['22675495', '20786362']",The Collar of Freedom,2014,"['en-US', 'eng']",400.0,"""My body is opening up and while my hips swerve on his desk, I am waiting, ready for penetration. But it's not coming. My whole being is transgressing though his hand on my behind, one moment petting me and the next smacking me, and his raspy voice driving me mad.
""Oh, Amelia...the things I could do to you...""
He is restraining himself, I can feel it, and regarding him over my shoulder I want to scream 'fuck me' at him. Gyrating harder and harder over the desk I can sense my explosion coming and I know I am not thinking straight when I want him inside of me. Mounting the desk higher ...I'm trembling.
""Please.....fuck me."" I don't recognize my whining voice.
""Begging, Amelia?"" His voice is dark, in control, but his panting is betraying him, he is as aroused as I am and enjoying me like this, feral and helpless.
""Yes.....please.""
__________________________________________
Amelia Jones knows the truth; she lives and breathes it every day. The endless monotony of a loveless marriage, and years of domestic slavery stretch before her in minutes and hours that are destined to end in a mental breakdown.
Then Alexander Reeves walks through the door.
Her new boss is intriguing, charismatic and clearly driven by unspoken demons, and while Amelia knows she's playing with fire, she's relentlessly drawn to the man. Alexander is just as taken by her, but knows that giving into temptation can only end in disaster. When the couple succumb to a passionate, furious battle of the wills, Amelia is thrilled and afraid; Alexander's erotic preferences are shocking to the uninitiated. The trouble is, wild as his life may seem, Amelia knows that he at least is living. Alexander may bring about her ruin, but he also holds the secret to her salvation, and Amelia prays she might be able to save him too.","01-tbr-on-kindle,1-amazon,2,2014-reading-challenge,2015-candidates,2017-read,300-400-pgs,400-plus-pages,5-star,9-stars,a-4-plus-star-avg-review,a-free,a-owned-not-read,a-series,action-packed,adult,affairs,alexandra-i,all-about-that-alpha,amazon-rental,amazon-rental-to-read,arc,arc-author-publisher,arcs,bdsm,bondage,cheating,check-into,contemporary,contemporary-romance,content-cheating,currently-reading,dark-reads-2015,deception,dominance,e-book,elizabeth,emotional-roller-coaster,erotic,erotic-bdsm,erotica,erotica-bdsm,erotica-romance,favorite-books,favorites,ff,first-up,four-star-reads,freebie,genre-bdsm,genre-erotic-romance,give-me-books-promotions,giveaway-prize,hot-sex,i-feel-a-need-to-read,isobelle-s-bookshelf,kindle,kindle-sent,ku-tbr,lendable,lendable-kindle-books,love-love-love-these,m-f,messed-up-love,messy-affair,mf,my-master-bdsm,not-interested,novel,office-affair,on-kindle,on-kindle-to-read,on-my-kindle,own-not-read,owned,owned-books,owned-but-haven-t-read-yet,owned-but-not-read,owned-to-read,page-count-300-399,reviewed,romance,rough-sex,sensual,serial,series,series-novel,series-serial,series-tbr-pending,series-wait-for-all,short-list,single-parent,stand-alone,suspense-romance,titanic-recommended-reads,to-read,to-read-kindle-6,to-read-own,violence,voyeurism",romance,7738937,Alexandra Iff,4.4,770,,,,148,83,4.51
