2025-10-23 13:48:33,370 - INFO - Loading books from ../../data/processed/sample_50_books.csv
2025-10-23 13:48:33,378 - INFO - Robust automated searcher initialized
2025-10-23 13:48:33,378 - INFO - Starting robust automated search for 2 books
2025-10-23 13:48:33,379 - INFO - Processing book 1/2
2025-10-23 13:48:35,181 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 1, attempt 1, URL: https://annas-archive.org)
2025-10-23 13:48:35,547 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 1, attempt 1, URL: https://annas-archive.li)
2025-10-23 13:48:35,780 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 1, attempt 1, URL: https://annas-archive.net)
2025-10-23 13:48:38,903 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 1, attempt 2, URL: https://annas-archive.org)
2025-10-23 13:48:38,968 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 1, attempt 2, URL: https://annas-archive.li)
2025-10-23 13:48:39,241 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 1, attempt 2, URL: https://annas-archive.net)
2025-10-23 13:48:42,761 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 1, attempt 3, URL: https://annas-archive.org)
2025-10-23 13:48:42,816 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 1, attempt 3, URL: https://annas-archive.li)
2025-10-23 13:48:42,877 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 1, attempt 3, URL: https://annas-archive.net)
2025-10-23 13:48:44,654 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 2, attempt 1, URL: https://annas-archive.org)
2025-10-23 13:48:44,725 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 2, attempt 1, URL: https://annas-archive.li)
2025-10-23 13:48:44,801 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 2, attempt 1, URL: https://annas-archive.net)
2025-10-23 13:48:47,129 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 2, attempt 2, URL: https://annas-archive.org)
2025-10-23 13:48:47,199 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 2, attempt 2, URL: https://annas-archive.li)
2025-10-23 13:48:47,268 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 2, attempt 2, URL: https://annas-archive.net)
2025-10-23 13:48:50,503 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 2, attempt 3, URL: https://annas-archive.org)
2025-10-23 13:48:50,556 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 2, attempt 3, URL: https://annas-archive.li)
2025-10-23 13:48:50,608 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 2, attempt 3, URL: https://annas-archive.net)
2025-10-23 13:48:52,571 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 3, attempt 1, URL: https://annas-archive.org)
2025-10-23 13:48:52,662 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 3, attempt 1, URL: https://annas-archive.li)
2025-10-23 13:48:52,714 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 3, attempt 1, URL: https://annas-archive.net)
2025-10-23 13:48:55,739 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 3, attempt 2, URL: https://annas-archive.org)
2025-10-23 13:48:55,791 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 3, attempt 2, URL: https://annas-archive.li)
2025-10-23 13:48:55,880 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 3, attempt 2, URL: https://annas-archive.net)
2025-10-23 13:48:59,175 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 3, attempt 3, URL: https://annas-archive.org)
2025-10-23 13:48:59,238 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 3, attempt 3, URL: https://annas-archive.li)
2025-10-23 13:48:59,316 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 3, attempt 3, URL: https://annas-archive.net)
2025-10-23 13:49:00,503 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 4, attempt 1, URL: https://annas-archive.org)
2025-10-23 13:49:00,577 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 4, attempt 1, URL: https://annas-archive.li)
2025-10-23 13:49:00,646 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 4, attempt 1, URL: https://annas-archive.net)
2025-10-23 13:49:02,941 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 4, attempt 2, URL: https://annas-archive.org)
2025-10-23 13:49:03,001 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 4, attempt 2, URL: https://annas-archive.li)
2025-10-23 13:49:03,067 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 4, attempt 2, URL: https://annas-archive.net)
2025-10-23 13:49:06,316 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 4, attempt 3, URL: https://annas-archive.org)
2025-10-23 13:49:06,391 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 4, attempt 3, URL: https://annas-archive.li)
2025-10-23 13:49:06,462 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 4, attempt 3, URL: https://annas-archive.net)
2025-10-23 13:49:08,259 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 5, attempt 1, URL: https://annas-archive.org)
2025-10-23 13:49:08,309 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 5, attempt 1, URL: https://annas-archive.li)
2025-10-23 13:49:08,355 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 5, attempt 1, URL: https://annas-archive.net)
2025-10-23 13:49:10,942 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 5, attempt 2, URL: https://annas-archive.org)
